time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T23:59:29.195Z,-2.493,140.7385,10,4.2,mb,19,99,16.495,0.45,us,us7000j3yb,2023-03-11T22:51:46.040Z,"5 km NNE of Jayapura, Indonesia",earthquake,10.43,1.863,0.175,9,reviewed,us,us
2023-01-02T00:22:05.645Z,6.8279,-73.0877,153.952,4.3,mb,14,59,0.929,0.92,us,us7000j43n,2023-03-11T22:51:46.040Z,"10 km N of Jordán, Colombia",earthquake,7.15,9.255,0.218,6,reviewed,us,us
2023-01-02T00:47:21.796Z,-7.7223,123.317,242.699,4.4,mb,14,122,2.228,0.48,us,us7000j44n,2023-03-11T22:51:48.040Z,"157 km NE of Maumere, Indonesia",earthquake,13.77,11.216,0.202,7,reviewed,us,us
2023-01-02T00:50:12.276Z,52.356,-168.3292,37.037,4.3,mb,138,139,0.695,0.67,us,us7000j1hy,2023-03-11T22:51:31.040Z,"74 km SSE of Nikolski, Alaska",earthquake,6.16,6.712,0.075,51,reviewed,us,us
2023-01-02T02:14:44.802Z,10.5549,-62.3692,89.663,4.4,mb,65,92,1.717,0.62,us,us7000j43p,2023-03-11T22:51:46.040Z,"8 km WSW of Güiria, Venezuela",earthquake,8.7,6.501,0.088,37,reviewed,us,us
2023-01-02T03:20:18.170Z,33.3975,-116.3898333,3.36,2.61,ml,114,16,0.07309,0.18,ci,ci40152887,2023-03-11T22:51:31.040Z,"16km N of Borrego Springs, CA",earthquake,0.1,0.38,0.158,84,reviewed,ci,ci
2023-01-02T03:27:29.148Z,9.3909,126.0204,10.004,4.4,mb,26,126,2.347,0.62,us,us7000j43q,2023-03-11T22:51:46.040Z,"7 km NE of Cantilan, Philippines",earthquake,8.9,4.377,0.139,15,reviewed,us,us
2023-01-02T03:40:15.163Z,52.1943,-168.3152,26.846,2.9,ml,17,217,0.846,0.34,us,us7000j5l1,2023-03-11T22:51:52.040Z,"90 km SSE of Nikolski, Alaska",earthquake,6.86,14.28,0.097,14,reviewed,us,us
2023-01-02T03:43:19.446Z,52.3012,-168.3514,35.342,2.9,ml,13,225,0.739,0.5,us,us7000j5l7,2023-03-11T22:51:52.040Z,"78 km SSE of Nikolski, Alaska",earthquake,5.94,23.985,0.091,16,reviewed,us,us
2023-01-02T03:48:31.481Z,50.6602,-175.2714,10,2.8,ml,12,249,1.39,0.62,us,us7000j5l8,2023-03-11T22:51:52.040Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,5.01,2.014,0.148,6,reviewed,us,us
2023-01-02T04:06:03.396Z,54.4969,-159.5794,36.047,2.6,ml,22,224,0.335,0.47,us,us7000j5l2,2023-03-11T22:51:52.040Z,"110 km SSE of Sand Point, Alaska",earthquake,5.72,25.967,0.085,18,reviewed,us,us
2023-01-02T04:15:00.130Z,17.94783333,-66.9085,12.69,2.8,md,22,192,0.03883,0.13,pr,pr71390323,2023-01-02T05:22:04.140Z,Puerto Rico region,earthquake,0.34,0.28,0.096839491,16,reviewed,pr,pr
2023-01-02T04:21:34.794Z,27.5974,90.3069,35,4.4,mb,59,107,3.118,0.62,us,us7000j1if,2023-03-11T22:51:31.040Z,"22 km WNW of Trongsa, Bhutan",earthquake,11.07,1.912,0.084,41,reviewed,us,us
2023-01-02T04:52:51.344Z,52.1979,-168.2216,26.914,3.8,mb,49,181,0.866,0.46,us,us7000j43r,2023-03-11T22:51:46.040Z,"93 km SSE of Nikolski, Alaska",earthquake,2.24,7.148,0.089,33,reviewed,us,us
